id`tdate`ttitle`turl
4_u5Ues1zPY	2026-03-03T03:08:51-08:00	Create a FREE 2D Parallax System Using AI ( Game Ready )	https://youtu.be/4_u5Ues1zPY
M1dWBasJqqY	2026-03-01T16:16:00-08:00	Turn Any Image Into a 3D Animated Character (FREE AI Tools)	https://youtu.be/M1dWBasJqqY
vOvYazUBlpQ	2026-02-18T07:23:52-08:00	How to Build a 2D Game Asset Pack with Free AI  #AI#SpriteSheets#GameAnimations#GameAssets	https://youtu.be/vOvYazUBlpQ
VyhU5AER-hY	2024-02-29T08:45:52-08:00	3D Modeling Tutorial - Modeling a stylized Character head ready for Animation in Blender	https://youtu.be/VyhU5AER-hY
tlqz7OBIDpg	2023-06-25T02:58:29-07:00	Character Design and Modeling in Blender: Step-by-Step Tutorial for Beginners	https://youtu.be/tlqz7OBIDpg
oS9_Se7UAM4	2023-01-05T03:04:09-08:00	Volkswagen Beetle Low Poly 3D Model	https://youtu.be/oS9_Se7UAM4
iqn0g-RYNx0	2022-12-27T06:11:21-08:00	Getting that 2D look in 3D!   BPR Filters and Cartoon Materials for Stunning  2D Look !	https://youtu.be/iqn0g-RYNx0
WNaWjcQZcYI	2021-04-01T10:25:50-07:00	From ZBrush to Unity – Building My First Game Character	https://youtu.be/WNaWjcQZcYI
qHlhWNk97IA	2020-10-30T04:46:37-07:00	2D \ 3D Game Art	https://youtu.be/qHlhWNk97IA
w-tHmp0SGLE	2019-12-28T01:03:56-08:00	Blender Modeling Tutorial - Stylized Water Well	https://youtu.be/w-tHmp0SGLE
Wy9KtZVhkpk	2019-12-27T15:48:50-08:00	Blender Modeling Tutorial (trailer) - Stylized Water Well	https://youtu.be/Wy9KtZVhkpk
31xP4c1ZZ3k	2019-12-20T06:27:08-08:00	Stylized Low Poly Tree Modeling - Step-by-Step Blender Tutorial	https://youtu.be/31xP4c1ZZ3k
hT6gB0kI3xo	2019-10-07T12:34:32-07:00	3D Character Modeling	https://youtu.be/hT6gB0kI3xo
Py0T2BThXRI	2019-06-03T06:34:40-07:00	No Copyright Free Music	https://youtu.be/Py0T2BThXRI
yHyFdd3sZYE	2019-05-18T01:01:15-07:00	3D Modeling Tutorial - Modeling Low Poly Hand in Autodesk Maya 2026	https://youtu.be/yHyFdd3sZYE
hV4E3NKHW2A	2019-05-12T05:30:16-07:00	3D Modeling Tutorial -   Modeling Chesterfield Mattress  in Autodesk Maya 2026	https://youtu.be/hV4E3NKHW2A
BdzDyZnuVIE	2019-04-28T07:11:08-07:00	How to create Facebook 3D Photos in Zbrush and Photoshop	https://youtu.be/BdzDyZnuVIE
-5ZWSVFgQX0	2019-04-27T10:42:56-07:00	3D Modeling Tutorial -  Modeling a Hot Air Baloon in Autodesk Maya 2026	https://youtu.be/-5ZWSVFgQX0
rLLxdUedqy8	2019-04-22T13:17:55-07:00	3D Character face ready for Animation Modeling and UV Mapping Tutorial in Maya 2026	https://youtu.be/rLLxdUedqy8
uH8GcI5czmk	2019-04-21T13:16:37-07:00	3D Modeling Tutorial - UV Mapping a Character Head in Maya 2026	https://youtu.be/uH8GcI5czmk
NenxvdBuzkc	2019-04-16T11:27:45-07:00	3D Modeling Tutorial -Modeling a stylized Character head ready for Animation in Maya 2026	https://youtu.be/NenxvdBuzkc
BWJFDZV-DWo	2019-03-18T13:55:02-07:00	3D Modeling Tutorial - Modeling a Hot Air Balloon in Autodesk Maya 2026 - Part 2	https://youtu.be/BWJFDZV-DWo
GjWUPwUNk_8	2019-03-18T13:18:50-07:00	3D Modeling Tutorial - Modeling a Hot Air Balloon in Autodesk Maya 2026 - Part 1	https://youtu.be/GjWUPwUNk_8
Xgsi5PKa404	2019-01-13T03:41:58-08:00	3D Character Modeling	https://youtu.be/Xgsi5PKa404
GwZZktiMXSA	2018-11-26T00:01:19-08:00	3D Modeling Tutorial - Modeling a Well in Autodesk Maya 2026 - Part2	https://youtu.be/GwZZktiMXSA
zqXqWiiGQHA	2018-10-13T14:24:20-07:00	Zbrush 2018 - Character Modeling	https://youtu.be/zqXqWiiGQHA
YXTJpuq5H1o	2018-09-21T01:16:11-07:00	Zbrush  2018 - Character Modeling	https://youtu.be/YXTJpuq5H1o
lLy1I1ZzY38	2018-08-03T04:54:37-07:00	ZBrush 2018   Character modeling	https://youtu.be/lLy1I1ZzY38
MjAS_lt0w2E	2018-07-16T01:24:22-07:00	Zbrush 2018 -  Character modeling	https://youtu.be/MjAS_lt0w2E
gJOeiJbBz-Y	2018-05-26T01:24:00-07:00	Zbrush 2018 - Charecter Modeling	https://youtu.be/gJOeiJbBz-Y
